id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19501532,"SITE EXCEPTIONNEL, TRANQUILITÉ EN PLEINE VILLE",136900957,Caroline,,Verdun,45.44609,-73.57609,Entire home/apt,225,4,8,2018-01-02,0.15,1,0,0,
19506403,Beautiful private apartment in Montreal,14198930,Inna & Ilan,,Côte-Saint-Luc,45.47698,-73.66991,Entire home/apt,100,2,5,2018-07-03,0.09,1,0,0,
19516389,Homa Larose Apartment,7608651,Francis,,Mercier-Hochelaga-Maisonneuve,45.5409,-73.53931,Entire home/apt,68,1,21,2020-08-31,0.39,1,45,0,
19519829,Cosy private single room - Plateau Mont-Royal,77168089,Danielle,,Le Plateau-Mont-Royal,45.53662,-73.57906,Private room,35,1,10,2017-10-16,0.19,1,0,0,
19520587,Logement moderne de Rosemont,99336512,Catherine,,Rosemont-La Petite-Patrie,45.56235,-73.5845,Entire home/apt,85,2,8,2019-08-11,0.20,1,0,0,
19521683,Magnifique appartement moderne sur le Plateau,31245677,Emilie,,Le Plateau-Mont-Royal,45.51809,-73.57761,Entire home/apt,140,1,7,2017-08-29,0.13,1,0,0,
19528566,Bright and spacious art deco loft on Ave Laurier,1656323,Nadim,,Le Plateau-Mont-Royal,45.53514,-73.58121,Entire home/apt,65,30,61,2021-11-28,1.13,6,231,2,
19530506,Appartement charmant sur le plateau mont-royal,43228871,Enzo,,Le Plateau-Mont-Royal,45.52144,-73.59258,Entire home/apt,130,1,10,2017-09-04,0.19,1,0,0,
19530745,SOSHE 208 - Adjacent MUHC Glen Campus,3299104,Franca,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47138,-73.60643,Entire home/apt,35,90,7,2021-01-17,0.18,31,357,1,
19531493,Lovely apartment 5 minutes walk from Jean Talon!,56248526,Nkat,,Rosemont-La Petite-Patrie,45.5431,-73.61142,Entire home/apt,50,3,2,2017-07-13,0.04,1,0,0,
19546255,Cozy bright one bedroom apartment,63497984,Bibiana,,Rosemont-La Petite-Patrie,45.53923,-73.60479,Entire home/apt,55,3,3,2017-12-29,0.06,1,0,0,
19550829,DOWNTOWN APARTMENT cozy 1 bedroom best location,63522972,Gabriela,,Le Plateau-Mont-Royal,45.50869,-73.57396,Entire home/apt,50,2,18,2018-08-08,0.33,1,0,0,
19551576,Beau 5½ dans la Petite Patrie,137343216,Marc-André,,Rosemont-La Petite-Patrie,45.54211,-73.60463,Entire home/apt,80,5,3,2017-08-11,0.06,2,0,0,
19552080,Superbe chambre dans une grande maison pour toi!,39813426,Douet,,Mercier-Hochelaga-Maisonneuve,45.54337,-73.54857,Private room,14,1,5,2017-07-24,0.09,1,0,0,
19555586,Rustic & cozy 1bedroom flat in Le Plateau,15667508,Sarah & Aristide,,Le Plateau-Mont-Royal,45.51769,-73.5739,Entire home/apt,90,32,137,2020-10-03,2.53,1,224,0,
19570282,Classic Mile End Apartment,506188,Andrew,,Le Plateau-Mont-Royal,45.52698,-73.60993,Entire home/apt,100,2,0,,,1,0,0,
19571393,Cozy rooms in a bright house with a nice hostess,7949316,Leo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47622,-73.62785,Private room,35,5,0,,,1,0,0,
19571910,Appartement Plateau Mont Royal / Parc Laurier,137529847,Valérie,,Le Plateau-Mont-Royal,45.53086,-73.58548,Entire home/apt,35,21,2,2017-08-31,0.04,1,0,0,
19582721,"Walking distance to airport ,Room #3, 2 Beds",137097964,Christiane,,Dorval,45.45115,-73.76276,Private room,58,1,170,2021-11-23,3.14,3,155,38,
